conversation_id,summary,transcript,MM Card Issue,MM Card Partner issue,Dashboard Issue,Dashboard Subcategory,KYC Issue,KYC Subcategory
913033,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Change e-mail / phone number
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com  for any issues or questions regarding the change of e-mail or phone number for MetaMask Card.",Partner issue,Wants to change email,None,None,None,None
912942,"Question
The customer contacted us for help recovering their MetaMask account due to forgetting their recovery phrase.Summary• User needs help recovering their MetaMask account
• User forgot their recovery phrase
• Bot provides a link for security information on the MetaMask card
• Bot asks if the information was helpful
• User confirms that the information was helpful","bot: Unfortunately we couldn't process your request. Please follow the steps below for receiving further assistance.
bot: Pick an option from the menu below.
user: MetaMask Card
bot: Pick an option from the menu below
user: Security &amp; privacy
bot: Click here to learn about the Security of your MetaMask Card.
bot: Was this helpful?
user: That's it 👍
bot: Thank you for reaching out! Please rate our bot to understand how it is doing:
bot: [Conversation Rating Request]",Security,None,None,None,None,None
912861,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Change e-mail / phone number
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com  for any issues or questions regarding the change of e-mail or phone number for MetaMask Card.",Partner issue,Wants to change email,None,None,None,None
912812,Does not exist,bot: Pick an option from the menu below,None,None,None,None,None,None
912668,"To spend with your MetaMask Card, which is a Mastercard, follow these steps:

1. Ensure Activation: Make sure your MetaMask Card is activated. You can do this through the MetaMask app or the card management interface.

2. Add to Digital Wallet: For convenience, add your MetaMask Card to a digital wallet like Apple Pay or Google Wallet. This allows you to make contactless payments using your smartphone.

3. Using the Card:
   - In-Store Purchases: Use your MetaMask Card at any physical store that accepts Mastercard. Simply swipe, insert, or tap your card at the payment terminal.
   - Online Purchases: Enter your card details at the checkout page of any online retailer that accepts Mastercard.

4. Spending Tokens: You can spend supported tokens directly from your MetaMask wallet. The card supports spending in USDC, USDT, and wETH.

5. Earn Rewards: When you spend USDC, you earn 1% back in USDC on each transaction.

6. Manage Transactions: Use the MetaMask Card dashboard to track your spending, set limits, and manage your card settings.

Ensure you have sufficient funds in your MetaMask wallet to cover your purchases and any associated fees. If you encounter any issues, check the card's status and ensure it is not frozen or restricted.","bot: To use the MetaMask Card, follow these steps:
 
1. Eligibility: Ensure you are in an eligible region. The MetaMask Card is currently available to users in the UK, the EEA, Brazil, Mexico, Colombia, and the US (excluding New York and Vermont).
 
2. Setup: 
- Navigate to the 'Card' tab in your MetaMask Portfolio to start the setup process.
- Complete the Know Your Customer (KYC) process with Crypto Life, which manages the card.
 
3. Using the Card:
- You can use your MetaMask Card anywhere Mastercard is accepted, both online and in physical locations.
- Add your card to Apple Pay or Google Wallet for convenient use.
 
4. Spending and Rewards:
- Spend your tokens directly from your MetaMask wallet. The card supports USDC, USDT, and wETH.
- Earn 1% back in USDC on each USDC transaction.
 
5. Managing the Card:
- You can manage your card through the MetaMask Card dashboard, where you can freeze your card, set spending limits, and view transaction history.
 
6. Transaction Fees:
- Be aware of transaction fees, which include a Linea gas fee and a swap fee.
 
For more detailed instructions, you can refer to the MetaMask Card guide.
-----------------------------------
This response was generated by AI.
user: i have the card at the iphone 
bot: To use your MetaMask Card with an iPhone, you can add it to Apple Pay for convenient transactions. Here’s how you can do it:
 
1. Open Wallet App: On your iPhone, open the Wallet app.
 
2. Add Card: Tap the ""+"" button to add a new card.
 
3. Follow Instructions: Follow the on-screen instructions to add your MetaMask Card. You may need to enter the card details manually or use your iPhone's camera to scan the card.
 
4. Verification: Complete any verification steps required by your bank or card issuer. This might involve receiving a verification code via SMS or email.
 
5. Use Apple Pay: Once added, you can use your MetaMask Card with Apple Pay for purchases wherever Apple Pay is accepted. Simply hold your iPhone near the payment terminal and authenticate the transaction using Face ID, Touch ID, or your passcode.
 
If you encounter any issues during this process, ensure that your iPhone is updated to the latest iOS version and that Apple Pay is supported in your region.
-----------------------------------
This response was generated by AI.
user: how i can spend with the mastercard
bot: To spend with your MetaMask Card, which is a Mastercard, follow these steps:
 
1. Ensure Activation: Make sure your MetaMask Card is activated. You can do this through the MetaMask app or the card management interface.
 
2. Add to Digital Wallet: For convenience, add your MetaMask Card to a digital wallet like Apple Pay or Google Wallet. This allows you to make contactless payments using your smartphone.
 
3. Using the Card:
- In-Store Purchases: Use your MetaMask Card at any physical store that accepts Mastercard. Simply swipe, insert, or tap your card at the payment terminal.
- Online Purchases: Enter your card details at the checkout page of any online retailer that accepts Mastercard.
 
4. Spending Tokens: You can spend supported tokens directly from your MetaMask wallet. The card supports spending in USDC, USDT, and wETH.
 
5. Earn Rewards: When you spend USDC, you earn 1% back in USDC on each transaction.
 
6. Manage Transactions: Use the MetaMask Card dashboard to track your spending, set limits, and manage your card settings.
 
Ensure you have sufficient funds in your MetaMask wallet to cover your purchases and any associated fees. If you encounter any issues, check the card's status and ensure it is not frozen or restricted.
-----------------------------------
This response was generated by AI.
bot: Is this what you were looking for?
Cristi GPT response: To spend with your MetaMask Card, which is a Mastercard, follow these steps:

1. Ensure Activation: Make sure your MetaMask Card is activated. You can do this through the MetaMask app or the card management interface.

2. Add to Digital Wallet: For convenience, add your MetaMask Card to a digital wallet like Apple Pay or Google Wallet. This allows you to make contactless payments using your smartphone.

3. Using the Card:
   - In-Store Purchases: Use your MetaMask Card at any physical store that accepts Mastercard. Simply swipe, insert, or tap your card at the payment terminal.
   - Online Purchases: Enter your card details at the checkout page of any online retailer that accepts Mastercard.

4. Spending Tokens: You can spend supported tokens directly from your MetaMask wallet. The card supports spending in USDC, USDT, and wETH.

5. Earn Rewards: When you spend USDC, you earn 1% back in USDC on each transaction.

6. Manage Transactions: Use the MetaMask Card dashboard to track your spending, set limits, and manage your card settings.

Ensure you have sufficient funds in your MetaMask wallet to cover your purchases and any associated fees. If you encounter any issues, check the card's status and ensure it is not frozen or restricted.",User training,None,None,None,None,None
912695,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Issues with KYC
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com for any issues or questions regarding the KYC for MetaMask Card.",Partner issue,KYC Issue,None,None,None,None
912659,Does not exist,"bot: Pick an option from the menu below
user: Using MetaMask Card
bot: Please choose the relevant MetaMask Card help topic
user: Go back
bot: Hello! You’re chatting with the friendly MetaMask support bot. I'm here to assist you! Please click the button below to start a new support conversation.
user: MetaMask Support
bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Issues with KYC
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com for any issues or questions regarding the KYC for MetaMask Card.",Partner issue,KYC Issue,None,None,None,None
912580,Does not exist,bot: Pick an option from the menu below,None,None,None,None,None,None
912469,transfer-to-agent,"bot: I can only assist with MetaMask-related issues. If your question is about MetaMask, please provide more details, and I'll be happy to help. If your question is about something else, I recommend reaching out to the appropriate support service for assistance.
-----------------------------------
This response was generated by AI.
user: fuck you
bot: I'm here to help with any MetaMask-related questions or issues you might have. If there's anything specific you'd like assistance with, please let me know, and I'll do my best to help.
-----------------------------------
This response was generated by AI.
user: live rep
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
Cristi GPT response: transfer-to-agent",Other,None,None,None,None,None
912384,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Didn’t receive confirmation link
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com  for any issues or questions regarding the change of e-mail or phone number for MetaMask Card.",Partner issue,Didn't receive confirmation email,None,None,None,None
912270,Does not exist,"bot: Pick an option from the menu below
user: What is MetaMask Card?
bot: Please choose the relevant MetaMask Card help topic
user: What is MetaMask Card?
bot: Click here to learn more about MetaMask Card.
bot: Was this helpful?",None,None,None,None,None,None
912182,Does not exist,"bot: Pick an option from the menu below
user: FAQ’s
bot: Click here to see the most common FAQ’s about MetaMask Card.
bot: Was this helpful?
user: Talk to a person 👤
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: What version of MetaMask mobile are you using?",None,None,None,None,None,None
912143,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Go back
bot: Hello! You’re chatting with the friendly MetaMask support bot. I'm here to assist you! Please click the button below to start a new support conversation.
user: MetaMask Support
bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Change e-mail / phone number
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com  for any issues or questions regarding the change of e-mail or phone number for MetaMask Card.",Partner issue,Wants to change email,None,None,None,None
912142,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Issues with KYC
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com for any issues or questions regarding the KYC for MetaMask Card.",Partner issue,KYC Issue,None,None,None,None
912113,"To get early access to the MetaMask Metal Card, you can join the official waitlist via the 'Card' tab on MetaMask Portfolio. This will ensure you are among the first to know when the card becomes available.","bot: Sorry, I couldn’t answer that. Please  share more details about your question, or type ‘agent’ to be transferred to a support agent.
user: I am looking for MetaMask Card get early access
bot: To get early access to the MetaMask Metal Card, you can join the official waitlist via the 'Card' tab on MetaMask Portfolio. This will ensure you are among the first to know when the card becomes available.
-----------------------------------
This response was generated by AI.
bot: Is this what you were looking for?
Cristi GPT response: To get early access to the MetaMask Metal Card, you can join the official waitlist via the 'Card' tab on MetaMask Portfolio. This will ensure you are among the first to know when the card becomes available.",Other,None,None,None,None,None
912033,Does not exist,"bot: Pick an option from the menu below
user: Using MetaMask Card
bot: Please choose the relevant MetaMask Card help topic
user: Using your MetaMask Card?
bot: Click here     to learn how to use your MetaMask Card.    
bot: Was this helpful?",None,None,None,None,None,None
911957,Does not exist,"bot: Pick an option from the menu below
user: Security &amp; privacy
bot: Click here to learn about the Security of your MetaMask Card.
bot: Was this helpful?",Security,None,None,None,None,None
911924,Does not exist,bot: Pick an option from the menu below,None,None,None,None,None,None
